index	county	floor	observation	q05	q10	q25	q50	q75	q90	q95
1	9	9.0	1.62924053973028	-1.4591083151141688	-1.091952709644827	-0.45140812656122864	0.23256093970848613	0.9085983288397106	1.5262239134426712	1.9072316458155243
2	9	1.0	-0.693147180559945	-1.354236823674618	-1.0146502247150129	-0.45832776281261506	0.18418436266507937	0.8138157375717323	1.392197061242788	1.7200732885233656
3	9	1.0	-0.916290731874155	-1.3499734863373782	-1.0172198829014534	-0.4561349647446431	0.1651287970205802	0.7918444683282186	1.3432552280684518	1.6869313192323285
4	9	1.0	0.262364264467491	-1.3198846553949748	-1.0020785390303746	-0.4420845891141501	0.17907913715201676	0.8151864189954013	1.408527271377272	1.755633986806475
5	9	1.0	-0.916290731874155	-1.3210267781799656	-1.0070051368977075	-0.4476398713322179	0.17547560441274834	0.803198186680919	1.3727201457079041	1.7052212413992214
6	9	9.0	-0.356674943938732	-1.482951226366508	-1.1109196569087354	-0.49334115668305556	0.19067634453152454	0.9223846529787625	1.5616744404263145	1.9550263429819974
7	9	1.0	-0.356674943938732	-1.34123564546306	-0.9889405016318965	-0.41984266323736663	0.1966219519373279	0.8268478598157978	1.3890304534057096	1.7138364966108164
8	9	1.0	-0.916290731874155	-1.3639348256249724	-1.022388244253909	-0.44572470228935157	0.18394100737203448	0.7955652488887853	1.3496022238002188	1.6799839600967184
9	9	1.0	1.28093384546206	-1.337697863116912	-1.0320246100940424	-0.4433220058733576	0.1809533901225499	0.8054810633546768	1.3837791762825198	1.707546202720632
10	9	9.0	0.262364264467491	-1.5094099728321542	-1.1400965653355273	-0.4951321320060081	0.2106880309625744	0.9176353510534289	1.5548111488375933	1.9376587302726136
11	9	0.0	1.6094379124341	-1.3504595298509152	-1.0064500613611655	-0.4510667693302577	0.18355450317063282	0.8270614649703381	1.3914412465055472	1.734571268397322
12	9	1.0	0.336472236621213	-1.3125714010699154	-1.004111390663949	-0.4497967024078911	0.1788922632625165	0.8055185928386029	1.3850147704035682	1.7335429560300848
