time	mean_q05	mean_q50	mean_q95	prediction_q05	prediction_q95	sigma_q50
2.4	-0.15875127526104452	-0.07575852528348417	0.003308229079035938	-81.32916939748692	77.37727592172033	48.22041942862985
2.860000000000001	-0.16137261213829082	-0.0768014741092653	0.0014283762660866762	-82.60890260230752	79.35844330892414	48.214706151472
3.32	-0.16306535898631203	-0.07896345009090164	-0.0010510135894237435	-85.8197000566394	68.72961141574866	48.20847823973111
3.780000000000001	-0.16375515532898297	-0.08107382763736468	-0.004841000467930452	-73.26819694138074	77.6914142654043	48.20202205746155
4.239999999999999	-0.16417335047618709	-0.08254188631809702	-0.00936406698418702	-88.58047627382817	86.47063826146145	48.19478927790705
4.700000000000001	-0.1649741953590923	-0.08373150834810225	-0.014083020058823408	-78.53223643104683	77.45874448785158	48.188577115086474
5.159999999999999	-0.16553534281093082	-0.08615071610630845	-0.019066634419286504	-81.34987853130615	77.16211141090335	48.182123313997224
5.620000000000001	-0.1661904095354486	-0.08676089788065519	-0.024310450490540026	-65.96621952792373	76.66138505519311	48.1751238617564
6.079999999999999	-0.16650154980876794	-0.08762719287243395	-0.0296965178395083	-76.95035594939542	73.90581462649632	48.17010393172066
6.540000000000001	-0.16653303729646668	-0.08898959246508109	-0.0330668578337953	-79.84269042908107	72.2884148528959	48.167009809360806
7.0	-0.16623803762456782	-0.09209558070959305	-0.03546651814017214	-72.22412332006326	83.92692154952049	48.165206125719735
7.460000000000001	-0.16535475737707145	-0.09417158445102042	-0.036120695291900526	-71.85735951418661	81.52648382018322	48.16490281333823
7.919999999999998	-0.16355310767003714	-0.09605608626581667	-0.03567022233523678	-82.36377142828489	70.87658373878558	48.160689766918466
8.38	-0.16342505508263397	-0.09569687018507636	-0.03514048186274166	-68.06882786270816	72.4850242571854	48.15583645032361
8.839999999999998	-0.1628411529439198	-0.09699048399027202	-0.034535540749722524	-68.72230074213516	85.53003626672024	48.15132970798152
9.3	-0.16189497093440822	-0.09907945821317324	-0.034040026070912534	-84.79546453700486	95.43419387020916	48.147196044640395
9.760000000000002	-0.1625113098150784	-0.10036699956764673	-0.0331600248412049	-92.16571877662702	85.22096965859484	48.14325724050636
10.22	-0.16349004937811548	-0.10251226545728476	-0.03234231290760156	-76.64817671022084	77.27923950403313	48.139726010083834
10.680000000000001	-0.1650629823327998	-0.10526969686512995	-0.03147210975506311	-84.80847014995152	88.35441232563838	48.13743424485483
11.14	-0.16642543059963275	-0.1072425619666135	-0.030470937640890962	-76.61051671892659	78.8884224251125	48.13808603395403
11.600000000000001	-0.16976952633602535	-0.10763395760097037	-0.028600725810896902	-74.22286068548152	73.11699722501861	48.13774617306377
12.06	-0.17340976044284348	-0.11052135843696748	-0.02667372694613068	-76.60396071243416	85.96346180497538	48.137182869665224
12.520000000000001	-0.17495169215275624	-0.11050829173592563	-0.024906978839073342	-80.17573551964168	72.56306655617709	48.1365841261176
12.98	-0.18015544778035328	-0.112956576045022	-0.023642301227614758	-77.85396286882967	83.17806494728616	48.136127314312034
13.440000000000001	-0.18534328682279944	-0.11343288491536821	-0.022292798188279804	-85.38824875898122	69.53043937699084	48.136031379443665
13.9	-0.1895868785265536	-0.11410710736669435	-0.02101149304354838	-84.03155198405999	79.63176174063815	48.13562591031899
14.360000000000001	-0.19302825316967284	-0.11449360890710403	-0.02004886272133161	-72.35189036075278	89.90223001960757	48.13490336900614
14.82	-0.19752529327020463	-0.11449910302012933	-0.018402563118883962	-76.83058478693884	72.41106816946547	48.13509593405774
15.280000000000001	-0.2030897569611848	-0.11321247458010823	-0.01755222739710795	-67.65004552208822	79.41891015902624	48.136110813266626
15.74	-0.207823158664965	-0.1112410528477393	-0.016236166933454328	-84.33070936404172	75.50637369870734	48.13627416324109
16.2	-0.21132407313593854	-0.10898444979522162	-0.01573727812453824	-68.11059846682957	64.3600546916251	48.138345781451704
16.66	-0.21573593030598462	-0.10570001016078218	-0.014307542418109014	-72.88936811704966	88.68518369257615	48.14005029391151
17.12	-0.22061434643508154	-0.10330214557343619	-0.012693559539981738	-75.36027090785088	70.32700842186226	48.141404872538644
17.580000000000002	-0.22504713356597808	-0.10124406334735428	-0.011973698353401917	-81.90518885242307	83.42028679504706	48.14231692352579
18.04	-0.22851445888475264	-0.10131002923666702	-0.011354067828792431	-82.46386367202864	76.89546781726129	48.143444797843
18.499999999999996	-0.2317586337402563	-0.10164218632226141	-0.009139892582863428	-75.98064194597751	74.82534731570291	48.14605605818571
18.959999999999997	-0.2379077075308248	-0.10040752261876741	-0.007934149125414226	-69.04928448154567	70.45359367718842	48.145102721000924
19.42	-0.24114405246395282	-0.09899610646706603	-0.006337956851794979	-82.71355691566903	75.83854877789312	48.149408904381154
